Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2025,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.55,
SURVEY,2025,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.51,
SURVEY,2025,JAN,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.19,
SURVEY,2025,JUL,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.28,
SURVEY,2025,JUN,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.44,
SURVEY,2025,MAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.39,
SURVEY,2025,MAY,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.55,
SURVEY,2024,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.14,
SURVEY,2024,AUG,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.73,
SURVEY,2024,DEC,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.03,
SURVEY,2024,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.14,
SURVEY,2024,JAN,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.45,
SURVEY,2024,JUL,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.08,
SURVEY,2024,JUN,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.24,
SURVEY,2024,MAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.09,
SURVEY,2024,MARKETING YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.4,
SURVEY,2024,MAY,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.25,
SURVEY,2024,NOV,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.9,
SURVEY,2024,OCT,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.88,
SURVEY,2024,SEP,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.7,
SURVEY,2023,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.3,
SURVEY,2023,AUG,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.63,
SURVEY,2023,DEC,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.5,
SURVEY,2023,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.34,
SURVEY,2023,JAN,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.2,
SURVEY,2023,JUL,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.16,
SURVEY,2023,JUN,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.24,
SURVEY,2023,MAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.25,
SURVEY,2023,MARKETING YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.29,
SURVEY,2023,MAY,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.24,
SURVEY,2023,NOV,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.4,
SURVEY,2023,OCT,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.8,
SURVEY,2023,SEP,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.07,
SURVEY,2022,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.89,
SURVEY,2022,AUG,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.95,
SURVEY,2022,DEC,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.09,
SURVEY,2022,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.84,
SURVEY,2022,JAN,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.39,
SURVEY,2022,JUL,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.79,
