MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250923,WI,95.36,4.64,0,0,0,0,9/23/2025,9/29/2025,1
20250916,WI,95,5,0,0,0,0,9/16/2025,9/22/2025,1
20250909,WI,96.3,3.7,0,0,0,0,9/9/2025,9/15/2025,1
20250902,WI,96.3,3.7,0,0,0,0,9/2/2025,9/8/2025,1
20250826,WI,96.59,3.41,0,0,0,0,8/26/2025,9/1/2025,1
20250819,WI,95.74,4.26,0,0,0,0,8/19/2025,8/25/2025,1
20250812,WI,95.74,4.26,0,0,0,0,8/12/2025,8/18/2025,1
20250805,WI,98.22,1.78,0,0,0,0,8/5/2025,8/11/2025,1
20250729,WI,99.24,0.76,0,0,0,0,7/29/2025,8/4/2025,1
20250722,WI,99.24,0.76,0,0,0,0,7/22/2025,7/28/2025,1
20250715,WI,92.57,7.43,0.14,0,0,0,7/15/2025,7/21/2025,1
20250708,WI,86.65,13.35,1.36,0,0,0,7/8/2025,7/14/2025,1
20250701,WI,83.61,16.39,2.55,0,0,0,7/1/2025,7/7/2025,1
20250624,WI,76.29,23.71,2.55,0,0,0,6/24/2025,6/30/2025,1
20250617,WI,74.12,25.88,4.7,0,0,0,6/17/2025,6/23/2025,1
20250610,WI,52.97,47.03,4.7,0,0,0,6/10/2025,6/16/2025,1
20250603,WI,52.83,47.17,4.73,0,0,0,6/3/2025,6/9/2025,1
20250527,WI,66.73,33.27,4.73,0,0,0,5/27/2025,6/2/2025,1
20250520,WI,56.53,43.47,5.69,0,0,0,5/20/2025,5/26/2025,1
20250513,WI,56.53,43.47,5.69,0,0,0,5/13/2025,5/19/2025,1
20250506,WI,67.75,32.25,2.41,0,0,0,5/6/2025,5/12/2025,1
20250429,WI,67.79,32.21,2.41,0,0,0,4/29/2025,5/5/2025,1
20250422,WI,67.61,32.39,2.58,0,0,0,4/22/2025,4/28/2025,1
20250415,WI,57.97,42.03,4.95,0,0,0,4/15/2025,4/21/2025,1
20250408,WI,55.24,44.76,13.81,0,0,0,4/8/2025,4/14/2025,1
20250401,WI,42.79,57.21,29.27,0,0,0,4/1/2025,4/7/2025,1
20250325,WI,31.55,68.45,40.73,0,0,0,3/25/2025,3/31/2025,1
20250318,WI,18.55,81.45,50.5,0,0,0,3/18/2025,3/24/2025,1
20250311,WI,18.55,81.45,50.5,0,0,0,3/11/2025,3/17/2025,1
20250304,WI,15.27,84.73,50.5,0,0,0,3/4/2025,3/10/2025,1
20250225,WI,15.27,84.73,50.5,0,0,0,2/25/2025,3/3/2025,1
20250218,WI,15.27,84.73,43,0,0,0,2/18/2025,2/24/2025,1
20250211,WI,15.27,84.73,43,0,0,0,2/11/2025,2/17/2025,1
20250204,WI,15.27,84.73,43,0,0,0,2/4/2025,2/10/2025,1
20250128,WI,36.12,63.88,39.54,0,0,0,1/28/2025,2/3/2025,1
20250121,WI,36.12,63.88,39.54,0,0,0,1/21/2025,1/27/2025,1
20250114,WI,36.12,63.88,39.54,0,0,0,1/14/2025,1/20/2025,1
20250107,WI,36.12,63.88,39.54,0,0,0,1/7/2025,1/13/2025,1
20241231,WI,36.12,63.88,39.54,0,0,0,12/31/2024,1/6/2025,1
20241224,WI,40.89,59.11,43.7,0,0,0,12/24/2024,12/30/2024,1
20241217,WI,40.89,59.11,43.7,0,0,0,12/17/2024,12/23/2024,1
20241210,WI,40.91,59.09,43.89,0,0,0,12/10/2024,12/16/2024,1
20241203,WI,41.37,58.63,43.12,0,0,0,12/3/2024,12/9/2024,1
20241126,WI,34.79,65.21,43.9,3.27,0,0,11/26/2024,12/2/2024,1
20241119,WI,34.27,65.73,46.07,13.46,0,0,11/19/2024,11/25/2024,1
20241112,WI,0,100,52.85,17.19,0,0,11/12/2024,11/18/2024,1
