Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2025,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,170,000",
SURVEY,2025,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,970,000",
SURVEY,2025,YEAR - AUG FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,130,000",
SURVEY,2025,YEAR - AUG FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,970,000",
SURVEY,2025,YEAR - JUN ACREAGE,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,980,000",
SURVEY,2025,YEAR - JUN ACREAGE,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,020,000",
SURVEY,2025,YEAR - SEP FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,170,000",
SURVEY,2025,YEAR - SEP FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,970,000",
SURVEY,2024,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,960,000",
SURVEY,2024,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"730,000",
SURVEY,2024,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,120,000",
SURVEY,2024,YEAR - AUG FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,940,000",
SURVEY,2024,YEAR - AUG FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,120,000",
SURVEY,2024,YEAR - JUN ACREAGE,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,900,000",
SURVEY,2024,YEAR - JUN ACREAGE,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,120,000",
SURVEY,2024,YEAR - NOV FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,940,000",
SURVEY,2024,YEAR - NOV FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,120,000",
SURVEY,2024,YEAR - OCT FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,940,000",
SURVEY,2024,YEAR - OCT FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,120,000",
SURVEY,2024,YEAR - SEP FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,940,000",
SURVEY,2024,YEAR - SEP FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,120,000",
SURVEY,2023,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,140,000",
SURVEY,2023,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"780,000",
SURVEY,2023,YEAR,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,060,000",
SURVEY,2023,YEAR - AUG FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100,000",
SURVEY,2023,YEAR - AUG FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,070,000",
SURVEY,2023,YEAR - JUN ACREAGE,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100,000",
SURVEY,2023,YEAR - JUN ACREAGE,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,070,000",
SURVEY,2023,YEAR - NOV FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100,000",
SURVEY,2023,YEAR - NOV FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,070,000",
SURVEY,2023,YEAR - OCT FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100,000",
SURVEY,2023,YEAR - OCT FORECAST,,STATE,WISCONSIN,55,,,,,,,00000000,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,070,000",
