Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2025,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,116,
SURVEY,2025,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,97,
SURVEY,2025,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,122,
SURVEY,2025,APR,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY, ALFALFA, PREMIUM - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,200,
SURVEY,2025,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,124,
SURVEY,2025,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,79,
SURVEY,2025,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,136,
SURVEY,2025,FEB,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY, ALFALFA, PREMIUM - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,213,
SURVEY,2025,JAN,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,131,
SURVEY,2025,JAN,,STATE,WISCONSIN,55,,,,,,,00000000,,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,84,
