Program,Year,Period,Commodity,Data Item,Domain,Value,CV (%)
SURVEY,2025,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"3,130",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"640,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,540,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"275,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,265,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"105,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"65,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"510,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,250,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"6,077,500,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,870",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"230,000",
SURVEY,2025,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"360,000",
SURVEY,2025,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,860",
SURVEY,2025,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"3,290",
SURVEY,2024,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,380",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"630,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,530,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"260,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,270,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"95,000",
